id,nombre,foto
1,ACHACOLLO TOLA NEMESIA,insaurralde.jpg
2,AGUILAR GOMEZ ROBERTO IVAN,insaurralde.jpg
3,AGUIRRE LEDEZMA NOEL RICARDO,insaurralde.jpg
4,ARCE CATACORA LUIS ALBERTO,insaurralde.jpg
5,ARCE ZACONETA HECTOR ENRIQUE,insaurralde.jpg
6,ARISMENDI CHUMACERO ELIZABETH,insaurralde.jpg
7,AVALOS CORTEZ SAUL,insaurralde.jpg
8,AYLLON DE RODRIGUEZ CECILIA LUISA,insaurralde.jpg
9,CACERES RODRIGUEZ VICTOR,insaurralde.jpg
10,CAJIAS DE LA VEGA MARIA MAGDALENA,insaurralde.jpg
11,CALVIMONTES CAMARGO JUAN CARLOS,insaurralde.jpg
12,CAMPERO NAVA ARIANA,insaurralde.jpg
13,CANELAS ALURRALDE IVAN JORGE,insaurralde.jpg
14,CARO HINOJOSA ELBA VIVIANA,insaurralde.jpg
15,CHACÓN RENDÓN MARÍA CECILIA,insaurralde.jpg
16,CHAVEZ SERRANO WILFREDO FRANZ DAVID,insaurralde.jpg
17,CHIPANA CALLISAYA CALIXTO,insaurralde.jpg
18,CHOQUEHUANCA CESPEDES DAVID,insaurralde.jpg
19,CLAROS HINOJOSA MILTON,insaurralde.jpg
20,COCA ANTEZANA OSCAR,insaurralde.jpg
21,COPA CONDORI NILDA,insaurralde.jpg
22,DALENCE SALINAS JOSE GUILLERMO,insaurralde.jpg
23,DAVILA TORRES AMANDA,insaurralde.jpg
24,DELGADILLO TERCEROS WALTER JUVENAL,insaurralde.jpg
25,ECHAZU ALVARADO LUIS ALBERTO,insaurralde.jpg
26,FERREIRA JUSTINIANO REYMI LUIS,insaurralde.jpg
27,GALVEZ MAMANI SANTIAGO ALEX,insaurralde.jpg
28,GARCÍA LINERA ALVARO MARCELO,insaurralde.jpg
29,GOMEZ MAMANI MILTON,insaurralde.jpg
30,GROUX CANEDO PABLO CESAR,insaurralde.jpg
31,GUTIERREZ PEREZ JOSE LUIS,insaurralde.jpg
32,GUTIERREZ SALAZAR ELIZABETH SANDRA,insaurralde.jpg
33,HEREDIA MIRANDA NILA EFIGENIA,insaurralde.jpg
34,HURTADO MERCADO ANGEL GONZALO JAVIER,insaurralde.jpg
35,LEDEZMA CORNEJO JORGE,insaurralde.jpg
36,LLORENTTY SOLIZ SACHA SERGIO,insaurralde.jpg
37,MACHICAO BANKOVIC MARKO MARCELO,insaurralde.jpg
38,MAMANI MARCA ABEL PEDRO,insaurralde.jpg
39,MENACHO DIEDERICH PABLO,insaurralde.jpg
40,MERCADO SUAREZ JERGES,insaurralde.jpg
41,MOLDIZ MERCADO JOSE HUGO,insaurralde.jpg
42,MONJE VILLA JULIETA MABEL,insaurralde.jpg
43,MORALES AIMA JUAN EVO,insaurralde.jpg
44,MORALES OLIVERA ANA TERESA,insaurralde.jpg
45,MOREIRA LOPEZ MARIA ALEXANDRA,insaurralde.jpg
46,MU&Ntilde;OZ ALA ALICIA,insaurralde.jpg
47,NAVARRO MIRANDA FÉLIX CÉSAR,insaurralde.jpg
48,ORELLANA HALKYER RENE GONZALO,insaurralde.jpg
49,PACO DURAN MARIANELA,insaurralde.jpg
50,PATZI PACO FELIX,insaurralde.jpg
51,PEÑA CLAROS CLAUDIA STACY,insaurralde.jpg
52,PEREZ VALENZUELA JORGE,insaurralde.jpg
53,PIMENTEL CASTILLO JOSE ANTONIO,insaurralde.jpg
54,POLO ANDRADE SONIA,insaurralde.jpg
55,QUINTANA TABORGA JUAN RAMON,insaurralde.jpg
56,QUISPE QUENTA FELIPE,insaurralde.jpg
57,RADA VELEZ ALFREDO OCTAVIO,insaurralde.jpg
58,RAMOS MORALES ANA VERONICA,insaurralde.jpg
59,RAMOS SANCHEZ JULIA DAMIANA,insaurralde.jpg
60,RIC RIERA SALVADOR,insaurralde.jpg
61,RIVERO GUZMAN SUSANA,insaurralde.jpg
62,ROCABADO TUBERT MARIA CECILIA,insaurralde.jpg
63,RODRIGUEZ MEDRANO ANTONIA,insaurralde.jpg
64,RODRIGUEZ ROMERO CASIMIRA,insaurralde.jpg
65,ROJAS GUTIERREZ FELIX,insaurralde.jpg
66,ROMERO BONIFAZ CARLOS GUSTAVO,insaurralde.jpg
67,SAAVEDRA SOTO RUBEN ALDO,insaurralde.jpg
68,SALGUERO CARRILLO ELIZABETH CRISTINA,insaurralde.jpg
69,SALVATIERRA GUTIÉRREZ HUGO,insaurralde.jpg
70,SAN MIGUEL RODRIGUEZ WALKER SIXTO,insaurralde.jpg
71,SANCHEZ ESCOBAR ARTURO VLADIMIR,insaurralde.jpg
72,SANCHEZ FERNANDEZ LUIS ALBERTO,insaurralde.jpg
73,SANTALLA TORREZ DANIEL,insaurralde.jpg
